active_vehicles,is_weekend,month,day,trips_rolling_mean_3,trips_rolling_mean_7,lag_1,lag_2,lag_3
3736,0,1,14,13320.0,13292.714285714286,8713.0,1697.0,11825.0
271,0,1,14,13287.666666666666,12145.714285714286,29550.0,8713.0,1697.0
1030,0,1,14,13340.0,9129.57142857143,1600.0,29550.0,8713.0
233,0,1,14,4017.3333333333335,9119.57142857143,8870.0,1600.0,29550.0
1405,0,1,14,7472.333333333333,9139.57142857143,1582.0,8870.0,1600.0
1174,0,1,14,7769.666666666667,10291.714285714286,11965.0,1582.0,8870.0
1068,0,1,15,10293.0,10354.42857142857,9762.0,11965.0,1582.0
270,0,1,15,6903.666666666667,6389.714285714285,9152.0,9762.0,11965.0
3840,0,1,15,14054.333333333334,10620.285714285714,1797.0,9152.0,9762.0
1208,0,1,15,14467.333333333334,10837.57142857143,31214.0,1797.0,9152.0
1457,0,1,15,18048.0,12402.857142857143,10391.0,31214.0,1797.0
237,0,1,15,8188.666666666667,10927.285714285714,12539.0,10391.0,31214.0
234,0,1,16,5218.666666666667,9744.285714285714,1636.0,12539.0,10391.0
1250,0,1,16,4799.0,10048.285714285714,1481.0,1636.0,12539.0
1079,0,1,16,7533.0,11197.0,11280.0,1481.0,1636.0
290,0,1,16,7733.333333333333,7035.285714285715,9838.0,11280.0,1481.0
1445,0,1,16,8299.0,7404.714285714285,2082.0,9838.0,11280.0
3975,0,1,16,16627.0,10588.0,12977.0,2082.0,9838.0
974,1,1,17,19115.0,11718.0,34822.0,12977.0,2082.0
201,1,1,17,15216.333333333334,11689.42857142857,9546.0,34822.0,12977.0
1137,1,1,17,7403.0,11704.0,1281.0,9546.0,34822.0
252,1,1,17,4941.0,10607.142857142857,11382.0,1281.0,9546.0
1306,1,1,17,8739.333333333334,12120.57142857143,2160.0,11382.0,1281.0
3657,1,1,17,17051.333333333332,15455.0,12676.0,2160.0,11382.0
1056,1,1,18,20051.666666666668,12074.857142857143,36318.0,12676.0,2160.0
3290,1,1,18,27553.666666666668,15737.142857142857,11161.0,36318.0,12676.0
1223,1,1,18,19740.666666666668,17394.0,35182.0,11161.0,36318.0
869,1,1,18,19168.0,17117.0,12879.0,35182.0,11161.0
177,1,1,18,7947.666666666667,17025.714285714286,9443.0,12879.0,35182.0
248,1,1,18,4417.0,15541.57142857143,1521.0,9443.0,12879.0
883,0,1,19,3612.0,11357.285714285714,2287.0,1521.0,9443.0
992,0,1,19,5696.666666666667,10873.57142857143,7028.0,2287.0,1521.0
238,0,1,19,5457.0,6071.571428571428,7775.0,7028.0,2287.0
2958,0,1,19,10697.666666666666,7481.714285714285,1568.0,7775.0,7028.0
168,0,1,19,8447.666666666666,6279.142857142857,22750.0,1568.0,7775.0
706,0,1,19,9794.666666666666,6863.142857142857,1025.0,22750.0,1568.0
1350,0,1,20,5549.666666666667,7967.142857142857,5609.0,1025.0,22750.0
272,0,1,20,5744.0,7192.857142857143,10015.0,5609.0,1025.0
3654,0,1,20,12586.666666666666,9816.0,1608.0,10015.0,5609.0
221,0,1,20,9685.0,9779.142857142857,26137.0,1608.0,10015.0
944,0,1,20,11551.0,7558.571428571428,1310.0,26137.0,1608.0
1151,0,1,20,5670.666666666667,8625.857142857143,7206.0,1310.0,26137.0
3718,0,1,21,14348.666666666666,11730.857142857143,8496.0,7206.0,1310.0
242,0,1,21,12453.0,10517.142857142857,27344.0,8496.0,7206.0
1228,0,1,21,12778.333333333334,11640.57142857143,1519.0,27344.0,8496.0
1035,0,1,21,6344.0,9055.42857142857,9472.0,1519.0,27344.0
296,0,1,21,6429.0,9121.714285714286,8041.0,9472.0,1519.0
1429,0,1,21,6937.333333333333,9663.285714285714,1774.0,8041.0,9472.0
1295,0,1,22,7823.333333333333,9978.0,10997.0,1774.0,8041.0
1071,0,1,22,10258.666666666666,7368.857142857143,10699.0,10997.0,1774.0
295,0,1,22,7272.333333333333,7443.0,9080.0,10699.0,10997.0
3889,0,1,22,13736.333333333334,10388.57142857143,2038.0,9080.0,10699.0
246,0,1,22,11226.666666666666,9461.42857142857,30091.0,2038.0,9080.0
1471,0,1,22,14595.0,10942.714285714286,1551.0,30091.0,2038.0
1093,0,1,23,7679.0,10706.42857142857,12143.0,1551.0,30091.0
246,0,1,23,7718.666666666667,9416.57142857143,9343.0,12143.0,1551.0
299,0,1,23,4391.666666666667,8428.285714285714,1670.0,9343.0,12143.0
4040,0,1,23,12529.333333333334,12959.42857142857,2162.0,1670.0,9343.0
1482,0,1,23,16346.333333333334,10535.142857142857,33756.0,2162.0,1670.0
1330,0,1,23,19548.0,11994.57142857143,13121.0,33756.0,2162.0
1367,1,1,24,13010.333333333334,12280.285714285714,11767.0,13121.0,33756.0
245,1,1,24,9428.666666666666,11285.0,14143.0,11767.0,13121.0
1223,1,1,24,9958.0,12954.285714285714,2376.0,14143.0,11767.0
211,1,1,24,5779.666666666667,12875.142857142857,13355.0,2376.0,14143.0
3652,1,1,24,18050.0,13651.0,1608.0,13355.0,2376.0
945,1,1,24,16945.0,13210.857142857143,39187.0,1608.0,13355.0
183,1,1,25,16805.666666666668,11699.857142857143,10040.0,39187.0,1608.0
3300,1,1,25,13098.666666666666,13688.857142857143,1190.0,10040.0,39187.0
226,1,1,25,10337.0,13600.142857142857,28066.0,1190.0,10040.0
829,1,1,25,12346.666666666666,12723.57142857143,1755.0,28066.0,1190.0
1046,1,1,25,6092.333333333333,13822.857142857143,7219.0,1755.0,28066.0
1203,1,1,25,8961.333333333334,9705.0,9303.0,7219.0,1755.0
1084,0,1,26,9076.666666666666,9351.42857142857,10362.0,9303.0,7219.0
3012,0,1,26,12622.333333333334,12030.0,7565.0,10362.0,9303.0
197,0,1,26,9501.666666666666,8163.428571428572,19940.0,7565.0,10362.0
230,0,1,26,7434.333333333333,8107.428571428572,1000.0,19940.0,7565.0
1150,0,1,26,3323.6666666666665,8163.0,1363.0,1000.0,19940.0
860,0,1,26,4963.333333333333,7679.571428571428,7608.0,1363.0,1000.0
600,0,1,27,5980.333333333333,6829.857142857143,5919.0,7608.0,1363.0
135,0,1,27,3751.3333333333335,5880.714285714285,4414.0,5919.0,7608.0
596,0,1,27,3220.0,3650.0,921.0,4414.0,5919.0
434,0,1,27,2734.333333333333,3929.571428571429,4325.0,921.0,4414.0
112,0,1,27,2637.0,3824.714285714286,2957.0,4325.0,921.0
1619,0,1,27,5194.666666666667,4451.857142857143,629.0,2957.0,4325.0
235,0,1,28,4688.333333333333,3811.714285714286,11998.0,629.0,2957.0
1011,0,1,28,7169.0,4334.142857142857,1438.0,11998.0,629.0
1356,0,1,28,6790.333333333333,5754.285714285715,8071.0,1438.0,11998.0
1235,0,1,28,9652.666666666666,6568.571428571428,10862.0,8071.0,1438.0
3692,0,1,28,16341.333333333334,10165.714285714286,10025.0,10862.0,8071.0
286,0,1,28,13358.333333333334,10349.142857142857,28137.0,10025.0,10862.0
1474,0,1,29,14216.666666666666,10435.142857142857,1913.0,28137.0,10025.0
3959,0,1,29,15383.333333333334,14749.285714285714,12600.0,1913.0,28137.0
1316,0,1,29,18574.0,15237.0,31637.0,12600.0,1913.0
